order,family,family_zhtw
Acorales,Acoraceae,菖蒲科
Alismatales,Alismataceae,澤瀉科
Alismatales,Aponogetonaceae,水蕹科
Alismatales,Araceae,天南星科
Alismatales,Butomaceae,花藺科
Alismatales,Cymodoceaceae,絲粉藻科
Alismatales,Hydrocharitaceae,水鱉科
Alismatales,Juncaginaceae,水麥冬科
Alismatales,Maundiaceae,花香蒲科
Alismatales,Posidoniaceae,海神草科
Alismatales,Potamogetonaceae,眼子菜科
Alismatales,Ruppiaceae,流蘇菜科
Alismatales,Scheuchzeriaceae,冰沼草科
Alismatales,Tofieldiaceae,巖菖蒲科
Alismatales,Zosteraceae,甘藻科
Amborellales,Amborellaceae,無油樟科
Apiales,Apiaceae,繖形科
Apiales,Araliaceae,五加科
Apiales,Griseliniaceae,南茱萸科
Apiales,Myodocarpaceae,裂果楓科
Apiales,Pennantiaceae,澳茱萸科
Apiales,Pittosporaceae,海桐科
Apiales,Torricelliaceae,鞘柄木科
Aquifoliales,Aquifoliaceae,冬青科
Aquifoliales,Cardiopteridaceae,心翼果科
Aquifoliales,Helwingiaceae,青莢葉科
Aquifoliales,Phyllonomaceae,葉頂花科
Aquifoliales,Stemonuraceae,金檀木科
Arecales,Arecaceae,棕櫚科
Arecales,Dasypogonaceae,毛瓣花科
Asparagales,Amaryllidaceae,石蒜科
Asparagales,Asparagaceae,天門冬科
Asparagales,Asphodelaceae,阿福花科
Asparagales,Asteliaceae,無柱花科
Asparagales,Blandfordiaceae,疣毛子科
Asparagales,Boryaceae,耐旱草科
Asparagales,Doryanthaceae,矛纓花科
Asparagales,Hypoxidaceae,仙茅科
Asparagales,Iridaceae,鳶尾科
Asparagales,Ixioliriaceae,鳶尾蒜科
Asparagales,Lanariaceae,毛石蒜科
Asparagales,Orchidaceae,蘭科
Asparagales,Tecophilaeaceae,異蕊草科
Asparagales,Xeronemataceae,血劍草科
Asterales,Alseuosmiaceae,島海桐科
Asterales,Argophyllaceae,雪葉木科
Asterales,Asteraceae,菊科
Asterales,Calyceraceae,萼角花科
Asterales,Campanulaceae,桔梗科
Asterales,Goodeniaceae,草海桐科
Asterales,Menyanthaceae,睡菜科
Asterales,Pentaphragmataceae,五膜草科
Asterales,Phellinaceae,新冬青科
Asterales,Rousseaceae,毛島藤灌科
Asterales,Stylidiaceae,花柱草科
Austrobaileyales,Austrobaileyaceae,木蘭藤科
Austrobaileyales,Schisandraceae,五味子科
Austrobaileyales,Trimeniaceae,早落瓣科
Berberidopsidales,Aextoxicaceae,毒羊樹科
Berberidopsidales,Berberidopsidaceae,智利藤科
Boraginales,Boraginaceae,紫草科
Boraginales,Codonaceae,刺鐘花科
Boraginales,Coldeniaceae,生果草科
Boraginales,Cordiaceae,破布子科
Boraginales,Ehretiaceae,厚殼樹科
Boraginales,Heliotropiaceae,天芹菜科
Boraginales,Hoplestigmataceae,單柱花科
Boraginales,Hydrophyllaceae,水葉草科
Boraginales,Lennoaceae,蓋裂寄生科
Boraginales,Namaceae,壺斗花科
Boraginales,Wellstediaceae,蒴紫草科
Brassicales,Akaniaceae,疊珠樹科
Brassicales,Bataceae,肉穗果科
Brassicales,Brassicaceae,十字花科
Brassicales,Capparaceae,山柑科
Brassicales,Caricaceae,番木瓜科
Brassicales,Cleomaceae,白花菜科
Brassicales,Emblingiaceae,澳遠志科
Brassicales,Gyrostemonaceae,環蕊木科
Brassicales,Koeberliniaceae,刺枝木科
Brassicales,Limnanthaceae,沼花科
Brassicales,Moringaceae,辣木科
Brassicales,Pentadiplandraceae,瘤葯花科
Brassicales,Resedaceae,木樨草科
Brassicales,Salvadoraceae,刺茉莉科
Brassicales,Setchellanthaceae,夷白花菜科
Brassicales,Tovariaceae,鮮芹味科
Brassicales,Tropaeolaceae,金蓮花科
Bruniales,Bruniaceae,鱗葉樹科
Bruniales,Columelliaceae,彎葯樹科
Buxales,Buxaceae,黃楊科
Canellales,Canellaceae,白樟科
Canellales,Winteraceae,林仙科
Caryophyllales,Achatocarpaceae,瑪瑙果科
Caryophyllales,Aizoaceae,番杏科
Caryophyllales,Amaranthaceae,莧科
Caryophyllales,Anacampserotaceae,回歡草科
Caryophyllales,Ancistrocladaceae,鉤枝藤科
Caryophyllales,Asteropeiaceae,翼萼茶科
Caryophyllales,Barbeuiaceae,商葉藤科
Caryophyllales,Basellaceae,落葵科
Caryophyllales,Cactaceae,仙人掌科
